,Player,Team
0,Kent Bazemore,Atlanta Hawks
1,Ersan Ilyasova,Atlanta Hawks
2,Dennis Schroder,Atlanta Hawks
3,Gordon Hayward,Boston Celtics
4,Marcus Smart,Boston Celtics
5,Rondae Hollis-Jefferson,Brooklyn Nets
6,Caris LeVert,Brooklyn Nets
7,Jeremy Lin,Brooklyn Nets
8,Jahlil Okafor,Brooklyn Nets
9,Cameron Payne,Chicago Bulls
10,Kevin Love,Cleveland Cavaliers
11,Seth Curry,Dallas Mavericks
12,Dorian Finney-Smith,Dallas Mavericks
13,Nerlens Noel,Dallas Mavericks
14,Kenneth Faried,Denver Nuggets
15,Richard Jefferson,Denver Nuggets
16,Paul Millsap,Denver Nuggets
17,Mason Plumlee,Denver Nuggets
18,Reggie Jackson,Detroit Pistons
19,Jon Leuer,Detroit Pistons
20,Patrick McCaw,Golden State Warriors
21,Trevor Ariza,Houston Rockets
22,Eric Gordon,Houston Rockets
23,Darren Collison,Indiana Pacers
24,Glenn Robinson III,Indiana Pacers
25,Patrick Beverley,Los Angeles Clippers
26,C.J. Williams,Los Angeles Clippers
27,Channing Frye,Los Angeles Lakers
28,Mike Conley,Memphis Grizzlies
29,Chandler Parsons,Memphis Grizzlies
30,Wayne Selden,Memphis Grizzlies
31,Rodney McGruder,Miami Heat
32,Kelly Olynyk,Miami Heat
33,Dion Waiters,Miami Heat
34,Malcolm Brogdon,Milwaukee Bucks
35,Matthew Dellavedova,Milwaukee Bucks
36,John Henson,Milwaukee Bucks
37,Mirza Teletovic,Milwaukee Bucks
38,Marcus Georges-Hunt,Minnesota Timberwolves
39,Alexis Ajinca,New Orleans Pelicans
40,DeMarcus Cousins,New Orleans Pelicans
41,Solomon Hill,New Orleans Pelicans
42,Ron Baker,New York Knicks
43,Joakim Noah,New York Knicks
44,Kristaps Porzingis,New York Knicks
45,Alex Abrines,Oklahoma City Thunder
46,Andre Roberson,Oklahoma City Thunder
47,Aaron Gordon,Orlando Magic
48,Terrence Ross,Orlando Magic
49,Nikola Vucevic,Orlando Magic
50,Justin Anderson,Philadelphia 76ers
51,Joel Embiid,Philadelphia 76ers
52,Tyson Chandler,Phoenix Suns
53,Brandon Knight,Phoenix Suns
54,Alan Williams,Phoenix Suns
55,CJ Wilcox,Portland Trail Blazers
56,Skal Labissiere,Sacramento Kings
57,Iman Shumpert,Sacramento Kings
58,LaMarcus Aldridge,San Antonio Spurs
59,Rudy Gay,San Antonio Spurs
60,Manu Ginobili,San Antonio Spurs
61,Kawhi Leonard,San Antonio Spurs
62,Dante Exum,Utah Jazz
63,Ricky Rubio,Utah Jazz
64,Thabo Sefolosha,Utah Jazz
65,Tim Frazier,Washington Wizards
66,Jason Smith,Washington Wizards
67,John Wall,Washington Wizards
